address,restaurant_name,status
میدان صنعت، ابتدای خیابان سیمای ایران، جنب مرکز خرید پلاتین,کافه رستوران بهزاد,باز است
نیاوران، سه راه یاسر، انتهای خیابان صادقی قمی، مجتمع تفریحی پارسیان,فودینو گروپ,باز است
جردن، بلوار ستاری، پلاک 72,ویکتور لانژ,باز است
خیابان شریعتی، پایین تر از پل رومی، جنب بانک آینده، پلاک 1804,کافه رستوران رد لاین,باز است
شهرک غرب، خیابان حافظی، مجتمع فرهنگی و تجاری اریکه ایرانیان,بارکو,باز است
شهرک غرب، فاز6، گل افشان شمالی، کوچه یکم، پاساژ ایرانیان، کافه بستو,کافه بستو,باز است
پل  پارک وی،چمران جنوب خروجی هتل اوین،خیابان شهید سوری،نرسیده به درب ورودی آتی ساز،کوچه بهزاد،پلاک20,دل پیانو,باز است
نیاوران، سه راه یاسر، انتهای خیابان صادقی قمی، مجتمع فرهنگی تفریحی پارسیان,فودینو لانژ,باز است
خیابان سمیه، تقاطع نجات الهی پلاک 254,کافه فیلم کلاسیک,باز است
جردن، نبش آرش غربی،ساختمان اکسین(جین وست)، طبقه نهم,تیسالانژ,باز است
بلوار نلسون ماندلا، خیابان آرش غربی، رستوران نوول لانژ,نوول لانژ,باز است
نیاوران، تنگستان چهارم، مجتمع تجاری حیات سبز,رستوران کلپ,باز است
نیاوران، پمپ بنزین نیاوران، خیابان رفیعی، پلاک 11، رستوران کرمانشاهی,کرمانشاهی,باز است
خیابان شریعتی، بالاتر از پل رومی، پلاک 1900,کومو جلاتو,باز است
خیابان کریمخان، خیابان نجات اللهی، کوچه خسرو، پلاک 20,رایا,باز است
جردن، نبش آرش غربی، ساختمان اکسین(جین وست)، طبقه هفتم,تیسا اناریجه,باز است
شهران بین فلکه اول و دوم، رو به روی بانک سپه، رستوران شهران,کافه رستوران شهران,باز است
میدان ولیعصر، ضلع شمال شرقی میدان، جنب بانک سپه,کافه مارکت,باز است
میدان انقلاب، ابتدای کارگرشمالی، کوچه مجد، پلاک 12,کافه و رستوران هتل اورین,باز است
خیابان پیروزی، نرسیده به چهارراه کوکاکولا، بین خیابان محصل و عادلی، پ ۴۶۷,ژولی,باز است
خیابان ولیعصر، بالاتر از خیابان  شهید بهشتی,اروند کنار,باز است
نیاوران بین پمپ بنزین و جماران نبش کوچه ستایش,سوییت بلیس (نیاوران),باز است
خیابان پیروزی روبه روی جنگ افزار سازی پلاک 1002(شعبه مرکزی),حلیم حاج علی معنوی و پسران (شعبه 1),باز است
سهروردی شمالی، خیابان خرمشهر، نبش کوچه میناب فست فود آرارات,آرارات,باز است
خیابان ظفر شرقی، خیابان فرید افشار، بلوار آرش شرقی، پلاک ۴۴,مدائن,باز است
لواسان. میدان بسیج ،سینک،رستوران شومینه,شومینه,باز است
